COL.ID,FVFM,SEASON,SUBSET,SITE,SPECIES
OT.PA1,0.769,1_SM18,y,Outlet,PA
OT.PA2,0.765333333,1_SM18,y,Outlet,PA
OT.PA3,0.71,1_SM18,n,Outlet,PA
OT.PA4,0.736666667,1_SM18,n,Outlet,PA
OT.PA5,0.785666667,1_SM18,y,Outlet,PA
OT.PA6,0.748666667,1_SM18,n,Outlet,PA
OT.PA7,0.723666667,1_SM18,y,Outlet,PA
OT.PA8,0.718,1_SM18,n,Outlet,PA
OT.PA9,0.724,1_SM18,y,Outlet,PA
OT.PA10,0.653333333,1_SM18,y,Outlet,PA
OT.PA1,0.750666667,2_FL18,y,Outlet,PA
OT.PA2,0.692666667,2_FL18,y,Outlet,PA
OT.PA3,0.794,2_FL18,n,Outlet,PA
OT.PA4,0.721,2_FL18,n,Outlet,PA
OT.PA5,0.802,2_FL18,y,Outlet,PA
OT.PA6,0.758333333,2_FL18,n,Outlet,PA
OT.PA7,0.795,2_FL18,y,Outlet,PA
OT.PA8,0.673,2_FL18,n,Outlet,PA
OT.PA9,0.737,2_FL18,y,Outlet,PA
OT.PA10,0.756,2_FL18,y,Outlet,PA
OT.PA1,0.747666667,3_WNT19,y,Outlet,PA
OT.PA2,0.717666667,3_WNT19,y,Outlet,PA
OT.PA3,0.741333333,3_WNT19,n,Outlet,PA
OT.PA4,0.780666667,3_WNT19,n,Outlet,PA
OT.PA5,0.799666667,3_WNT19,y,Outlet,PA
OT.PA6,0.768666667,3_WNT19,n,Outlet,PA
OT.PA7,0.729,3_WNT19,y,Outlet,PA
OT.PA8,0.741333333,3_WNT19,n,Outlet,PA
OT.PA9,0.770333333,3_WNT19,y,Outlet,PA
OT.PA10,0.735,3_WNT19,y,Outlet,PA
OT.PA1,0.766333333,4_SP19,y,Outlet,PA
OT.PA2,0.778666667,4_SP19,y,Outlet,PA
OT.PA3,0.822333333,4_SP19,n,Outlet,PA
OT.PA4,0.803,4_SP19,n,Outlet,PA
OT.PA5,0.807333333,4_SP19,y,Outlet,PA
OT.PA6,0.764,4_SP19,n,Outlet,PA
OT.PA7,0.773666667,4_SP19,y,Outlet,PA
OT.PA8,0.764333333,4_SP19,n,Outlet,PA
OT.PA9,0.766666667,4_SP19,y,Outlet,PA
OT.PA10,0.77,4_SP19,y,Outlet,PA
OT.PA1,0.746,5_SM19,y,Outlet,PA
OT.PA2,0.648666667,5_SM19,y,Outlet,PA
OT.PA3,0.696666667,5_SM19,n,Outlet,PA
OT.PA4,0.729666667,5_SM19,n,Outlet,PA
OT.PA5,0.673666667,5_SM19,y,Outlet,PA
OT.PA6,0.767,5_SM19,n,Outlet,PA
OT.PA7,0.732666667,5_SM19,y,Outlet,PA
OT.PA8,0.742333333,5_SM19,n,Outlet,PA
OT.PA9,0.628,5_SM19,y,Outlet,PA
OT.PA10,0.734666667,5_SM19,y,Outlet,PA
WT.PA1,0.711666667,1_SM18,y,Wanlitung,PA
WT.PA3,0.696666667,1_SM18,y,Wanlitung,PA
WT.PA6,0.708,1_SM18,n,Wanlitung,PA
WT.PA7,0.701,1_SM18,y,Wanlitung,PA
WT.PA8,0.634333333,1_SM18,n,Wanlitung,PA
WT.PA9,0.665666667,1_SM18,y,Wanlitung,PA
WT.PA10,0.740333333,1_SM18,y,Wanlitung,PA
WT.PA1,0.700666667,2_FL18,y,Wanlitung,PA
WT.PA3,0.712333333,2_FL18,y,Wanlitung,PA
WT.PA6,0.675,2_FL18,n,Wanlitung,PA
WT.PA7,0.615333333,2_FL18,y,Wanlitung,PA
WT.PA9,0.623,2_FL18,y,Wanlitung,PA
WT.PA10,0.713333333,2_FL18,y,Wanlitung,PA
WT.PA11,0.685666667,2_FL18,y,Wanlitung,PA
WT.PA12,0.734666667,2_FL18,n,Wanlitung,PA
WT.PA13,0.581,2_FL18,y,Wanlitung,PA
WT.PA14,0.732333333,2_FL18,n,Wanlitung,PA
WT.PA15,0.635,2_FL18,n,Wanlitung,PA
WT.PA3,0.746333333,3_WNT19,y,Wanlitung,PA
WT.PA7,0.735333333,3_WNT19,y,Wanlitung,PA
WT.PA8,0.687,3_WNT19,n,Wanlitung,PA
WT.PA9,0.747,3_WNT19,y,Wanlitung,PA
WT.PA10,0.778666667,3_WNT19,y,Wanlitung,PA
WT.PA11,0.751,3_WNT19,y,Wanlitung,PA
WT.PA12,0.745666667,3_WNT19,n,Wanlitung,PA
WT.PA13,0.759333333,3_WNT19,y,Wanlitung,PA
WT.PA14,0.771666667,3_WNT19,n,Wanlitung,PA
WT.PA15,0.715666667,3_WNT19,y,Wanlitung,PA
WT.PA3,0.701333333,4_SP19,y,Wanlitung,PA
WT.PA7,0.717333333,4_SP19,y,Wanlitung,PA
WT.PA8,0.763333333,4_SP19,n,Wanlitung,PA
WT.PA10,0.71,4_SP19,y,Wanlitung,PA
WT.PA11,0.664333333,4_SP19,y,Wanlitung,PA
WT.PA12,0.735333333,4_SP19,n,Wanlitung,PA
WT.PA13,0.715333333,4_SP19,y,Wanlitung,PA
WT.PA14,0.726333333,4_SP19,n,Wanlitung,PA
WT.PA15,0.718666667,4_SP19,y,Wanlitung,PA
WT.PA16,0.755333333,4_SP19,y,Wanlitung,PA
WT.PA7,0.740666667,5_SM19,y,Wanlitung,PA
WT.PA10,0.723333333,5_SM19,y,Wanlitung,PA
WT.PA11,0.691333333,5_SM19,y,Wanlitung,PA
WT.PA12,0.759333333,5_SM19,n,Wanlitung,PA
WT.PA13,0.729333333,5_SM19,y,Wanlitung,PA
WT.PA15,0.713666667,5_SM19,y,Wanlitung,PA
WT.PA16,0.721,5_SM19,y,Wanlitung,PA
OT.AN1,0.703666667,1_SM18,n,Outlet,AN
OT.AN2,0.701333333,1_SM18,n,Outlet,AN
OT.AN4,0.692,1_SM18,n,Outlet,AN
OT.AN5,0.732,1_SM18,y,Outlet,AN
OT.AN8,0.688,1_SM18,y,Outlet,AN
OT.AN9,0.692666667,1_SM18,y,Outlet,AN
OT.AN10,0.724333333,1_SM18,y,Outlet,AN
OT.AN11,0.582666667,1_SM18,n,Outlet,AN
OT.AN12,0.691,1_SM18,y,Outlet,AN
OT.AN13,0.66,1_SM18,y,Outlet,AN
OT.AN1,0.719666667,2_FL18,n,Outlet,AN
OT.AN2,0.744333333,2_FL18,n,Outlet,AN
OT.AN4,0.672,2_FL18,n,Outlet,AN
OT.AN5,0.739666667,2_FL18,y,Outlet,AN
OT.AN8,0.716,2_FL18,y,Outlet,AN
OT.AN9,0.737333333,2_FL18,y,Outlet,AN
OT.AN10,0.728,2_FL18,y,Outlet,AN
OT.AN11,0.745,2_FL18,n,Outlet,AN
OT.AN12,0.731666667,2_FL18,y,Outlet,AN
OT.AN13,0.726333333,2_FL18,y,Outlet,AN
OT.AN1,0.754333333,3_WNT19,n,Outlet,AN
OT.AN2,0.749666667,3_WNT19,n,Outlet,AN
OT.AN4,0.762333333,3_WNT19,n,Outlet,AN
OT.AN5,0.74,3_WNT19,y,Outlet,AN
OT.AN8,0.718333333,3_WNT19,y,Outlet,AN
OT.AN9,0.706666667,3_WNT19,y,Outlet,AN
OT.AN10,0.756666667,3_WNT19,y,Outlet,AN
OT.AN11,0.723,3_WNT19,n,Outlet,AN
OT.AN13,0.752666667,3_WNT19,y,Outlet,AN
OT.AN14,0.709666667,3_WNT19,n,Outlet,AN
OT.AN4,0.799666667,4_SP19,n,Outlet,AN
OT.AN5,0.729333333,4_SP19,y,Outlet,AN
OT.AN8,0.735666667,4_SP19,y,Outlet,AN
OT.AN9,0.764333333,4_SP19,y,Outlet,AN
OT.AN10,0.747,4_SP19,y,Outlet,AN
OT.AN11,0.783,4_SP19,n,Outlet,AN
OT.AN12,0.726,4_SP19,y,Outlet,AN
OT.AN13,0.776333333,4_SP19,y,Outlet,AN
OT.AN14,0.737666667,4_SP19,n,Outlet,AN
OT.AN15,0.737333333,4_SP19,n,Outlet,AN
OT.AN16,0.801666667,4_SP19,n,Outlet,AN
OT.AN4,0.68,5_SM19,n,Outlet,AN
OT.AN5,0.76,5_SM19,y,Outlet,AN
OT.AN8,0.759,5_SM19,y,Outlet,AN
OT.AN9,0.697,5_SM19,y,Outlet,AN
OT.AN10,0.695666667,5_SM19,y,Outlet,AN
OT.AN11,0.744333333,5_SM19,n,Outlet,AN
OT.AN12,0.733666667,5_SM19,y,Outlet,AN
OT.AN13,0.770666667,5_SM19,y,Outlet,AN
OT.AN14,0.760333333,5_SM19,n,Outlet,AN
OT.AN15,0.726666667,5_SM19,n,Outlet,AN
OT.AN16,0.756666667,5_SM19,n,Outlet,AN
WT.AN1,0.769,1_SM18,y,Wanlitung,AN
WT.AN2,0.737333333,1_SM18,n,Wanlitung,AN
WT.AN3,0.644333333,1_SM18,y,Wanlitung,AN
WT.AN5,0.717333333,1_SM18,y,Wanlitung,AN
WT.AN6,0.715666667,1_SM18,y,Wanlitung,AN
WT.AN7,0.599333333,1_SM18,y,Wanlitung,AN
WT.AN8,0.652666667,1_SM18,y,Wanlitung,AN
WT.AN9,0.708333333,1_SM18,n,Wanlitung,AN
WT.AN10,0.702666667,1_SM18,n,Wanlitung,AN
WT.AN1,0.697,2_FL18,y,Wanlitung,AN
WT.AN2,0.683333333,2_FL18,n,Wanlitung,AN
WT.AN3,0.673,2_FL18,y,Wanlitung,AN
WT.AN5,0.736333333,2_FL18,y,Wanlitung,AN
WT.AN6,0.674666667,2_FL18,y,Wanlitung,AN
WT.AN7,0.625,2_FL18,y,Wanlitung,AN
WT.AN8,0.681333333,2_FL18,y,Wanlitung,AN
WT.AN9,0.657333333,2_FL18,n,Wanlitung,AN
WT.AN10,0.691666667,2_FL18,n,Wanlitung,AN
WT.AN11,0.638666667,2_FL18,n,Wanlitung,AN
WT.AN1,0.712333333,3_WNT19,y,Wanlitung,AN
WT.AN2,0.736,3_WNT19,n,Wanlitung,AN
WT.AN3,0.729,3_WNT19,y,Wanlitung,AN
WT.AN5,0.623333333,3_WNT19,y,Wanlitung,AN
WT.AN6,0.736666667,3_WNT19,y,Wanlitung,AN
WT.AN7,0.689333333,3_WNT19,y,Wanlitung,AN
WT.AN8,0.758333333,3_WNT19,y,Wanlitung,AN
WT.AN9,0.753333333,3_WNT19,n,Wanlitung,AN
WT.AN10,0.745333333,3_WNT19,n,Wanlitung,AN
WT.AN11,0.702,3_WNT19,n,Wanlitung,AN
WT.AN13,0.672666667,3_WNT19,n,Wanlitung,AN
WT.AN14,0.706,3_WNT19,n,Wanlitung,AN
WT.AN15,0.688333333,3_WNT19,n,Wanlitung,AN
WT.AN1,0.724666667,4_SP19,y,Wanlitung,AN
WT.AN2,0.775333333,4_SP19,n,Wanlitung,AN
WT.AN3,0.744666667,4_SP19,y,Wanlitung,AN
WT.AN5,0.780666667,4_SP19,y,Wanlitung,AN
WT.AN6,0.725666667,4_SP19,y,Wanlitung,AN
WT.AN7,0.83,4_SP19,y,Wanlitung,AN
WT.AN8,0.789666667,4_SP19,y,Wanlitung,AN
WT.AN9,0.78,4_SP19,n,Wanlitung,AN
WT.AN10,0.831333333,4_SP19,n,Wanlitung,AN
WT.AN11,0.808333333,4_SP19,n,Wanlitung,AN
WT.AN13,0.769666667,4_SP19,n,Wanlitung,AN
WT.AN14,0.756666667,4_SP19,n,Wanlitung,AN
WT.AN15,0.778666667,4_SP19,n,Wanlitung,AN
WT.AN1,0.622666667,5_SM19,y,Wanlitung,AN
WT.AN2,0.701666667,5_SM19,n,Wanlitung,AN
WT.AN3,0.621333333,5_SM19,y,Wanlitung,AN
WT.AN6,0.707,5_SM19,y,Wanlitung,AN
WT.AN8,0.673666667,5_SM19,y,Wanlitung,AN
WT.AN9,0.673333333,5_SM19,n,Wanlitung,AN
WT.AN11,0.704333333,5_SM19,y,Wanlitung,AN
WT.AN13,0.725666667,5_SM19,n,Wanlitung,AN
WT.AN14,0.643333333,5_SM19,y,Wanlitung,AN
WT.AN15,0.663333333,5_SM19,n,Wanlitung,AN
OT.PL1,0.622333333,1_SM18,y,Outlet ,PL
OT.PL2,0.600333333,1_SM18,n,Outlet ,PL
OT.PL3,0.660666667,1_SM18,n,Outlet ,PL
OT.PL4,0.725,1_SM18,y,Outlet ,PL
OT.PL5,0.631666667,1_SM18,y,Outlet ,PL
OT.PL6,0.607666667,1_SM18,y,Outlet ,PL
OT.PL7,0.618666667,1_SM18,n,Outlet ,PL
OT.PL8,0.633666667,1_SM18,y,Outlet ,PL
OT.PL9,0.691,1_SM18,y,Outlet ,PL
OT.PL10,0.668666667,1_SM18,n,Outlet ,PL
OT.PL1,0.624666667,2_FL18,y,Outlet ,PL
OT.PL2,0.508333333,2_FL18,n,Outlet ,PL
OT.PL3,0.670333333,2_FL18,n,Outlet ,PL
OT.PL4,0.712666667,2_FL18,y,Outlet ,PL
OT.PL5,0.669333333,2_FL18,y,Outlet ,PL
OT.PL6,0.666,2_FL18,y,Outlet ,PL
OT.PL7,0.717,2_FL18,n,Outlet ,PL
OT.PL8,0.719333333,2_FL18,y,Outlet ,PL
OT.PL9,0.702333333,2_FL18,y,Outlet ,PL
OT.PL10,0.684666667,2_FL18,n,Outlet ,PL
OT.PL 11,0.747,2_FL18,n,Outlet ,PL
OT.PL1,0.638333333,3_WNT19,y,Outlet ,PL
OT.PL2,0.573,3_WNT19,n,Outlet ,PL
OT.PL3,0.680666667,3_WNT19,n,Outlet ,PL
OT.PL4,0.65,3_WNT19,y,Outlet ,PL
OT.PL5,0.657333333,3_WNT19,y,Outlet ,PL
OT.PL6,0.593666667,3_WNT19,y,Outlet ,PL
OT.PL7,0.676333333,3_WNT19,n,Outlet ,PL
OT.PL8,0.615,3_WNT19,y,Outlet ,PL
OT.PL9,0.608333333,3_WNT19,y,Outlet ,PL
OT.PL10,0.674333333,3_WNT19,n,Outlet ,PL
OT.PL 11,0.603333333,3_WNT19,n,Outlet ,PL
OT.PL1,0.627666667,4_SP19,y,Outlet ,PL
OT.PL2,0.609333333,4_SP19,n,Outlet ,PL
OT.PL3,0.570666667,4_SP19,n,Outlet ,PL
OT.PL4,0.667666667,4_SP19,y,Outlet ,PL
OT.PL5,0.682666667,4_SP19,y,Outlet ,PL
OT.PL6,0.444333333,4_SP19,y,Outlet ,PL
OT.PL7,0.637,4_SP19,n,Outlet ,PL
OT.PL8,0.684,4_SP19,y,Outlet ,PL
OT.PL9,0.624666667,4_SP19,y,Outlet ,PL
OT.PL10,0.576666667,4_SP19,n,Outlet ,PL
OT.PL 11,0.664333333,4_SP19,n,Outlet ,PL
OT.PL1,0.603666667,5_SM19,y,Outlet ,PL
OT.PL2,0.658,5_SM19,n,Outlet ,PL
OT.PL3,0.560666667,5_SM19,n,Outlet ,PL
OT.PL4,0.407,5_SM19,y,Outlet ,PL
OT.PL5,0.428666667,5_SM19,y,Outlet ,PL
OT.PL6,0.464333333,5_SM19,y,Outlet ,PL
OT.PL7,0.654666667,5_SM19,n,Outlet ,PL
OT.PL8,0.687666667,5_SM19,y,Outlet ,PL
OT.PL9,0.612,5_SM19,y,Outlet ,PL
OT.PL10,0.651333333,5_SM19,n,Outlet ,PL
OT.PL 11,0.609,5_SM19,n,Outlet ,PL
WT.PL1,0.584,1_SM18,y,Wanlitung,PL
WT.PL2,0.651,1_SM18,y,Wanlitung,PL
WT.PL3,0.668333333,1_SM18,y,Wanlitung,PL
WT.PL4,0.537,1_SM18,y,Wanlitung,PL
WT.PL5,0.462333333,1_SM18,n,Wanlitung,PL
WT.PL6,0.624,1_SM18,y,Wanlitung,PL
WT.PL7,0.741666667,1_SM18,n,Wanlitung,PL
WT.PL8,0.601666667,1_SM18,n,Wanlitung,PL
WT.PL9,0.598,1_SM18,n,Wanlitung,PL
WT.PL10,0.574666667,1_SM18,y,Wanlitung,PL
WT.PL1,0.616666667,2_FL18,y,Wanlitung,PL
WT.PL2,0.662666667,2_FL18,y,Wanlitung,PL
WT.PL3,0.675333333,2_FL18,y,Wanlitung,PL
WT.PL4,0.695,2_FL18,y,Wanlitung,PL
WT.PL5,0.735666667,2_FL18,n,Wanlitung,PL
WT.PL6,0.675,2_FL18,y,Wanlitung,PL
WT.PL7,0.615333333,2_FL18,n,Wanlitung,PL
WT.PL8,0.581,2_FL18,n,Wanlitung,PL
WT.PL9,0.623,2_FL18,n,Wanlitung,PL
WT.PL10,0.713333333,2_FL18,y,Wanlitung,PL
WT.PL1,0.662666667,3_WNT19,y,Wanlitung,PL
WT.PL2,0.728666667,3_WNT19,y,Wanlitung,PL
WT.PL3,0.690666667,3_WNT19,y,Wanlitung,PL
WT.PL4,0.586666667,3_WNT19,y,Wanlitung,PL
WT.PL5,0.637666667,3_WNT19,n,Wanlitung,PL
WT.PL6,0.709333333,3_WNT19,y,Wanlitung,PL
WT.PL7,0.603,3_WNT19,n,Wanlitung,PL
WT.PL8,0.678333333,3_WNT19,n,Wanlitung,PL
WT.PL9,0.560666667,3_WNT19,n,Wanlitung,PL
WT.PL10,0.642,3_WNT19,y,Wanlitung,PL
WT.PL1,0.600666667,4_SP19,y,Wanlitung,PL
WT.PL2,0.659666667,4_SP19,y,Wanlitung,PL
WT.PL3,0.675333333,4_SP19,y,Wanlitung,PL
WT.PL4,0.596333333,4_SP19,y,Wanlitung,PL
WT.PL5,0.562,4_SP19,n,Wanlitung,PL
WT.PL6,0.633,4_SP19,y,Wanlitung,PL
WT.PL7,0.591666667,4_SP19,n,Wanlitung,PL
WT.PL8,0.597,4_SP19,n,Wanlitung,PL
WT.PL9,0.668,4_SP19,n,Wanlitung,PL
WT.PL10,0.618666667,4_SP19,y,Wanlitung,PL
WT.PL1,0.544666667,5_SM19,y,Wanlitung,PL
WT.PL2,0.554666667,5_SM19,y,Wanlitung,PL
WT.PL3,0.532333333,5_SM19,y,Wanlitung,PL
WT.PL4,0.648666667,5_SM19,y,Wanlitung,PL
WT.PL5,0.605333333,5_SM19,n,Wanlitung,PL
WT.PL6,0.613333333,5_SM19,y,Wanlitung,PL
WT.PL7,0.639333333,5_SM19,n,Wanlitung,PL
WT.PL8,0.535333333,5_SM19,n,Wanlitung,PL
WT.PL9,0.633333333,5_SM19,n,Wanlitung,PL
WT.PL10,0.612,5_SM19,y,Wanlitung,PL
