cycle,season,genus,colony_id,value,line_group
1,Summer,C,OT_PA1,-4227.965088,PA1_C
2,Summer,C,OT_PA1,-3637.574219,PA1_C
3,Summer,C,OT_PA1,-2519.12085,PA1_C
4,Summer,C,OT_PA1,-1039.26771,PA1_C
5,Summer,C,OT_PA1,-67.30391947,PA1_C
6,Summer,C,OT_PA1,225.5010325,PA1_C
7,Summer,C,OT_PA1,327.8789012,PA1_C
8,Summer,C,OT_PA1,478.3778585,PA1_C
9,Summer,C,OT_PA1,858.1528473,PA1_C
10,Summer,C,OT_PA1,754.3757528,PA1_C
11,Summer,C,OT_PA1,612.1637828,PA1_C
12,Summer,C,OT_PA1,492.5338364,PA1_C
13,Summer,C,OT_PA1,631.9429626,PA1_C
14,Summer,C,OT_PA1,749.9965719,PA1_C
15,Summer,C,OT_PA1,595.8848674,PA1_C
16,Summer,C,OT_PA1,644.5322622,PA1_C
17,Summer,C,OT_PA1,455.8879827,PA1_C
18,Summer,C,OT_PA1,-186.0531769,PA1_C
19,Summer,C,OT_PA1,-314.641449,PA1_C
20,Summer,C,OT_PA1,-374.8026581,PA1_C
21,Summer,C,OT_PA1,-456.9391123,PA1_C
22,Summer,C,OT_PA1,-654.0039673,PA1_C
23,Summer,C,OT_PA1,-917.6417135,PA1_C
24,Summer,C,OT_PA1,-1000.552917,PA1_C
25,Summer,C,OT_PA1,-455.0552775,PA1_C
26,Summer,C,OT_PA1,-191.070638,PA1_C
27,Summer,C,OT_PA1,631.8723246,PA1_C
28,Summer,C,OT_PA1,2859.317912,PA1_C
29,Summer,C,OT_PA1,6191.181478,PA1_C
30,Summer,C,OT_PA1,12378.25814,PA1_C
31,Summer,C,OT_PA1,23860.71126,PA1_C
32,Summer,C,OT_PA1,44263.52214,PA1_C
33,Summer,C,OT_PA1,75388.33464,PA1_C
34,Summer,C,OT_PA1,116275.2318,PA1_C
35,Summer,C,OT_PA1,154578.8568,PA1_C
1,Summer,D,OT_PA1,-1691.880208,PA1_D
2,Summer,D,OT_PA1,-1514.752767,PA1_D
3,Summer,D,OT_PA1,-748.4822184,PA1_D
4,Summer,D,OT_PA1,208.1034838,PA1_D
5,Summer,D,OT_PA1,151.7204269,PA1_D
6,Summer,D,OT_PA1,242.2748718,PA1_D
7,Summer,D,OT_PA1,446.5714925,PA1_D
8,Summer,D,OT_PA1,506.6024831,PA1_D
9,Summer,D,OT_PA1,-89.86650467,PA1_D
10,Summer,D,OT_PA1,-716.9240316,PA1_D
11,Summer,D,OT_PA1,-310.4243011,PA1_D
12,Summer,D,OT_PA1,200.7238973,PA1_D
13,Summer,D,OT_PA1,1570.338262,PA1_D
14,Summer,D,OT_PA1,4859.88208,PA1_D
15,Summer,D,OT_PA1,12275.34798,PA1_D
16,Summer,D,OT_PA1,25725.10872,PA1_D
17,Summer,D,OT_PA1,51622.25651,PA1_D
18,Summer,D,OT_PA1,91969,PA1_D
19,Summer,D,OT_PA1,148758.776,PA1_D
20,Summer,D,OT_PA1,217019.1146,PA1_D
21,Summer,D,OT_PA1,291389.3229,PA1_D
22,Summer,D,OT_PA1,365675.25,PA1_D
23,Summer,D,OT_PA1,434597.6771,PA1_D
24,Summer,D,OT_PA1,495670.9583,PA1_D
25,Summer,D,OT_PA1,548027.3333,PA1_D
26,Summer,D,OT_PA1,594483.5625,PA1_D
27,Summer,D,OT_PA1,633694.9375,PA1_D
28,Summer,D,OT_PA1,665860.7292,PA1_D
29,Summer,D,OT_PA1,692798.1875,PA1_D
30,Summer,D,OT_PA1,715625.3958,PA1_D
31,Summer,D,OT_PA1,735301.1875,PA1_D
32,Summer,D,OT_PA1,750088.2083,PA1_D
33,Summer,D,OT_PA1,762545.7708,PA1_D
34,Summer,D,OT_PA1,771574.7292,PA1_D
35,Summer,D,OT_PA1,778131.2292,PA1_D
1,Fall,C,OT_PA1,-332.90389,PA1_C
2,Fall,C,OT_PA1,-227.3714193,PA1_C
3,Fall,C,OT_PA1,-521.3282267,PA1_C
4,Fall,C,OT_PA1,-263.1550191,PA1_C
5,Fall,C,OT_PA1,-146.947848,PA1_C
6,Fall,C,OT_PA1,-96.4386464,PA1_C
7,Fall,C,OT_PA1,119.9872335,PA1_C
8,Fall,C,OT_PA1,124.1579056,PA1_C
9,Fall,C,OT_PA1,156.0577443,PA1_C
10,Fall,C,OT_PA1,237.7518514,PA1_C
11,Fall,C,OT_PA1,218.6464945,PA1_C
12,Fall,C,OT_PA1,323.6843465,PA1_C
13,Fall,C,OT_PA1,338.8862712,PA1_C
14,Fall,C,OT_PA1,316.1428731,PA1_C
15,Fall,C,OT_PA1,475.6820443,PA1_C
16,Fall,C,OT_PA1,535.2147051,PA1_C
17,Fall,C,OT_PA1,167.7733892,PA1_C
18,Fall,C,OT_PA1,-31.49863942,PA1_C
19,Fall,C,OT_PA1,-108.9386571,PA1_C
20,Fall,C,OT_PA1,-225.7146022,PA1_C
21,Fall,C,OT_PA1,-339.8434041,PA1_C
22,Fall,C,OT_PA1,-455.2834218,PA1_C
23,Fall,C,OT_PA1,-493.0176799,PA1_C
24,Fall,C,OT_PA1,-408.6321665,PA1_C
25,Fall,C,OT_PA1,-447.6294708,PA1_C
26,Fall,C,OT_PA1,-414.1475906,PA1_C
27,Fall,C,OT_PA1,-294.0693766,PA1_C
28,Fall,C,OT_PA1,-180.0171892,PA1_C
29,Fall,C,OT_PA1,257.8058319,PA1_C
30,Fall,C,OT_PA1,680.8502248,PA1_C
31,Fall,C,OT_PA1,1069.654948,PA1_C
32,Fall,C,OT_PA1,1551.850384,PA1_C
33,Fall,C,OT_PA1,2640.056315,PA1_C
34,Fall,C,OT_PA1,4151.429891,PA1_C
35,Fall,C,OT_PA1,5659.001831,PA1_C
1,Fall,D,OT_PA1,2840.326294,PA1_D
2,Fall,D,OT_PA1,2390.382813,PA1_D
3,Fall,D,OT_PA1,249.7050985,PA1_D
4,Fall,D,OT_PA1,-213.2981974,PA1_D
5,Fall,D,OT_PA1,-69.78066254,PA1_D
6,Fall,D,OT_PA1,-57.04697673,PA1_D
7,Fall,D,OT_PA1,164.9445241,PA1_D
8,Fall,D,OT_PA1,370.7901888,PA1_D
9,Fall,D,OT_PA1,-15.80166626,PA1_D
10,Fall,D,OT_PA1,-405.3726654,PA1_D
11,Fall,D,OT_PA1,-278.2040749,PA1_D
12,Fall,D,OT_PA1,36.3473053,PA1_D
13,Fall,D,OT_PA1,528.4585953,PA1_D
14,Fall,D,OT_PA1,1355.752146,PA1_D
15,Fall,D,OT_PA1,2048.220235,PA1_D
16,Fall,D,OT_PA1,2825.776917,PA1_D
17,Fall,D,OT_PA1,3873.791667,PA1_D
18,Fall,D,OT_PA1,5145.996826,PA1_D
19,Fall,D,OT_PA1,6851.957113,PA1_D
20,Fall,D,OT_PA1,10004.2194,PA1_D
21,Fall,D,OT_PA1,14784.01042,PA1_D
22,Fall,D,OT_PA1,22200.54329,PA1_D
23,Fall,D,OT_PA1,32080.92513,PA1_D
24,Fall,D,OT_PA1,45159.79264,PA1_D
25,Fall,D,OT_PA1,61588.33789,PA1_D
26,Fall,D,OT_PA1,81625.27344,PA1_D
27,Fall,D,OT_PA1,104418.4948,PA1_D
28,Fall,D,OT_PA1,128843.6654,PA1_D
29,Fall,D,OT_PA1,155183.7435,PA1_D
30,Fall,D,OT_PA1,181364.7943,PA1_D
31,Fall,D,OT_PA1,207025.6849,PA1_D
32,Fall,D,OT_PA1,232504.7318,PA1_D
33,Fall,D,OT_PA1,256242.4479,PA1_D
34,Fall,D,OT_PA1,278383.75,PA1_D
35,Fall,D,OT_PA1,296680.0052,PA1_D
1,Winter,C,OT_PA1,-1660.659505,PA1_C
2,Winter,C,OT_PA1,-1476.435669,PA1_C
3,Winter,C,OT_PA1,-411.3566055,PA1_C
4,Winter,C,OT_PA1,-325.6327871,PA1_C
5,Winter,C,OT_PA1,-123.0322673,PA1_C
6,Winter,C,OT_PA1,-111.9822693,PA1_C
7,Winter,C,OT_PA1,148.0648648,PA1_C
8,Winter,C,OT_PA1,159.0536696,PA1_C
9,Winter,C,OT_PA1,321.5708478,PA1_C
10,Winter,C,OT_PA1,302.0192947,PA1_C
11,Winter,C,OT_PA1,234.8886922,PA1_C
12,Winter,C,OT_PA1,216.0187683,PA1_C
13,Winter,C,OT_PA1,191.8627828,PA1_C
14,Winter,C,OT_PA1,198.5182495,PA1_C
15,Winter,C,OT_PA1,53.4866066,PA1_C
16,Winter,C,OT_PA1,-90.08123525,PA1_C
17,Winter,C,OT_PA1,-313.5367126,PA1_C
18,Winter,C,OT_PA1,-306.2744751,PA1_C
19,Winter,C,OT_PA1,313.0506719,PA1_C
20,Winter,C,OT_PA1,618.1612244,PA1_C
21,Winter,C,OT_PA1,3177.255805,PA1_C
22,Winter,C,OT_PA1,4511.539449,PA1_C
23,Winter,C,OT_PA1,12148.63793,PA1_C
24,Winter,C,OT_PA1,15507.36835,PA1_C
25,Winter,C,OT_PA1,32659.01501,PA1_C
26,Winter,C,OT_PA1,39501.30046,PA1_C
27,Winter,C,OT_PA1,63247.92623,PA1_C
28,Winter,C,OT_PA1,71564.18042,PA1_C
29,Winter,C,OT_PA1,99068.95662,PA1_C
30,Winter,C,OT_PA1,108427.1476,PA1_C
31,Winter,C,OT_PA1,137535.098,PA1_C
32,Winter,C,OT_PA1,147248.4329,PA1_C
33,Winter,C,OT_PA1,180332.6898,PA1_C
34,Winter,C,OT_PA1,192062.737,PA1_C
35,Winter,C,OT_PA1,213341.8672,PA1_C
1,Winter,D,OT_PA1,933.6861572,PA1_D
2,Winter,D,OT_PA1,576.9242554,PA1_D
3,Winter,D,OT_PA1,136.5972443,PA1_D
4,Winter,D,OT_PA1,-167.6008619,PA1_D
5,Winter,D,OT_PA1,-177.6544418,PA1_D
6,Winter,D,OT_PA1,-32.09733327,PA1_D
7,Winter,D,OT_PA1,29.96235784,PA1_D
8,Winter,D,OT_PA1,211.8111315,PA1_D
9,Winter,D,OT_PA1,222.6846263,PA1_D
10,Winter,D,OT_PA1,74.37454732,PA1_D
11,Winter,D,OT_PA1,-31.89127096,PA1_D
12,Winter,D,OT_PA1,-82.76776759,PA1_D
13,Winter,D,OT_PA1,-114.7419138,PA1_D
14,Winter,D,OT_PA1,-171.9009603,PA1_D
15,Winter,D,OT_PA1,-14.76052729,PA1_D
16,Winter,D,OT_PA1,153.5869293,PA1_D
17,Winter,D,OT_PA1,444.5437749,PA1_D
18,Winter,D,OT_PA1,918.1099854,PA1_D
19,Winter,D,OT_PA1,1800.012151,PA1_D
20,Winter,D,OT_PA1,3168.748871,PA1_D
21,Winter,D,OT_PA1,5048.763097,PA1_D
22,Winter,D,OT_PA1,8452.904602,PA1_D
23,Winter,D,OT_PA1,13759.4408,PA1_D
24,Winter,D,OT_PA1,21965.4233,PA1_D
25,Winter,D,OT_PA1,33601.08482,PA1_D
26,Winter,D,OT_PA1,49911.84399,PA1_D
27,Winter,D,OT_PA1,70204.38574,PA1_D
28,Winter,D,OT_PA1,94076.67745,PA1_D
29,Winter,D,OT_PA1,120757.5629,PA1_D
30,Winter,D,OT_PA1,149114.4432,PA1_D
31,Winter,D,OT_PA1,177100.2662,PA1_D
32,Winter,D,OT_PA1,204007.0137,PA1_D
33,Winter,D,OT_PA1,229479.3158,PA1_D
34,Winter,D,OT_PA1,253166.9644,PA1_D
35,Winter,D,OT_PA1,271843.2013,PA1_D
1,Spring,C,OT_PA1,-2059.024455,PA1_C
2,Spring,C,OT_PA1,-1924.043111,PA1_C
3,Spring,C,OT_PA1,-1031.412011,PA1_C
4,Spring,C,OT_PA1,-531.7809397,PA1_C
5,Spring,C,OT_PA1,-423.7735647,PA1_C
6,Spring,C,OT_PA1,64.23901367,PA1_C
7,Spring,C,OT_PA1,316.3987427,PA1_C
8,Spring,C,OT_PA1,473.0181147,PA1_C
9,Spring,C,OT_PA1,434.1609141,PA1_C
10,Spring,C,OT_PA1,343.4899012,PA1_C
11,Spring,C,OT_PA1,150.1431274,PA1_C
12,Spring,C,OT_PA1,65.16872787,PA1_C
13,Spring,C,OT_PA1,296.6253103,PA1_C
14,Spring,C,OT_PA1,262.9204712,PA1_C
15,Spring,C,OT_PA1,127.4317322,PA1_C
16,Spring,C,OT_PA1,186.6578776,PA1_C
17,Spring,C,OT_PA1,19.62358602,PA1_C
18,Spring,C,OT_PA1,-116.3625081,PA1_C
19,Spring,C,OT_PA1,-722.5335236,PA1_C
20,Spring,C,OT_PA1,-903.1940918,PA1_C
21,Spring,C,OT_PA1,-1141.848165,PA1_C
22,Spring,C,OT_PA1,-1188.477519,PA1_C
23,Spring,C,OT_PA1,-795.7005742,PA1_C
24,Spring,C,OT_PA1,-990.0226854,PA1_C
25,Spring,C,OT_PA1,-1520.848629,PA1_C
26,Spring,C,OT_PA1,-1611.069107,PA1_C
27,Spring,C,OT_PA1,-1361.458844,PA1_C
28,Spring,C,OT_PA1,-1799.693649,PA1_C
29,Spring,C,OT_PA1,-1414.864644,PA1_C
30,Spring,C,OT_PA1,-169.4457906,PA1_C
31,Spring,C,OT_PA1,1093.038175,PA1_C
32,Spring,C,OT_PA1,2857.503906,PA1_C
33,Spring,C,OT_PA1,5605.420169,PA1_C
34,Spring,C,OT_PA1,9907.878418,PA1_C
35,Spring,C,OT_PA1,14494.29956,PA1_C
1,Spring,D,OT_PA1,-5577.788981,PA1_D
2,Spring,D,OT_PA1,-4952.969889,PA1_D
3,Spring,D,OT_PA1,-3725.582886,PA1_D
4,Spring,D,OT_PA1,-2020.633464,PA1_D
5,Spring,D,OT_PA1,-726.8793844,PA1_D
6,Spring,D,OT_PA1,264.4346364,PA1_D
7,Spring,D,OT_PA1,708.8918559,PA1_D
8,Spring,D,OT_PA1,694.3256429,PA1_D
9,Spring,D,OT_PA1,312.9287313,PA1_D
10,Spring,D,OT_PA1,18.55521647,PA1_D
11,Spring,D,OT_PA1,270.0515111,PA1_D
12,Spring,D,OT_PA1,1056.951497,PA1_D
13,Spring,D,OT_PA1,1432.288961,PA1_D
14,Spring,D,OT_PA1,1246.126363,PA1_D
15,Spring,D,OT_PA1,1145.43516,PA1_D
16,Spring,D,OT_PA1,963.5121562,PA1_D
17,Spring,D,OT_PA1,903.4069214,PA1_D
18,Spring,D,OT_PA1,906.7756144,PA1_D
19,Spring,D,OT_PA1,614.131265,PA1_D
20,Spring,D,OT_PA1,573.7760175,PA1_D
21,Spring,D,OT_PA1,189.8426361,PA1_D
22,Spring,D,OT_PA1,-360.8120931,PA1_D
23,Spring,D,OT_PA1,-232.2454936,PA1_D
24,Spring,D,OT_PA1,-4.301307042,PA1_D
25,Spring,D,OT_PA1,-478.7893778,PA1_D
26,Spring,D,OT_PA1,-550.7409871,PA1_D
27,Spring,D,OT_PA1,-490.0623983,PA1_D
28,Spring,D,OT_PA1,-433.2978795,PA1_D
29,Spring,D,OT_PA1,-499.259903,PA1_D
30,Spring,D,OT_PA1,-560.2740377,PA1_D
31,Spring,D,OT_PA1,-414.7282368,PA1_D
32,Spring,D,OT_PA1,-417.9376844,PA1_D
33,Spring,D,OT_PA1,-333.829422,PA1_D
34,Spring,D,OT_PA1,-52.05967204,PA1_D
35,Spring,D,OT_PA1,429.5616048,PA1_D
1,Summer,C,OT_PA2,4364.437866,PA2_C
2,Summer,C,OT_PA2,4144.399658,PA2_C
3,Summer,C,OT_PA2,2935.185974,PA2_C
4,Summer,C,OT_PA2,1731.733765,PA2_C
5,Summer,C,OT_PA2,1161.91452,PA2_C
6,Summer,C,OT_PA2,617.0366516,PA2_C
7,Summer,C,OT_PA2,271.5767193,PA2_C
8,Summer,C,OT_PA2,47.81602478,PA2_C
9,Summer,C,OT_PA2,-279.9485779,PA2_C
10,Summer,C,OT_PA2,-597.314743,PA2_C
11,Summer,C,OT_PA2,-849.3059082,PA2_C
12,Summer,C,OT_PA2,-1042.761902,PA2_C
13,Summer,C,OT_PA2,-1061.573395,PA2_C
14,Summer,C,OT_PA2,-1145.916077,PA2_C
15,Summer,C,OT_PA2,-1118.137756,PA2_C
16,Summer,C,OT_PA2,-940.2226868,PA2_C
17,Summer,C,OT_PA2,-712.7723999,PA2_C
18,Summer,C,OT_PA2,-529.4705887,PA2_C
19,Summer,C,OT_PA2,-862.5281982,PA2_C
20,Summer,C,OT_PA2,-887.7927856,PA2_C
21,Summer,C,OT_PA2,-535.3112793,PA2_C
22,Summer,C,OT_PA2,-404.3727541,PA2_C
23,Summer,C,OT_PA2,-395.0435982,PA2_C
24,Summer,C,OT_PA2,-508.7417908,PA2_C
25,Summer,C,OT_PA2,-225.6313972,PA2_C
26,Summer,C,OT_PA2,34.08837366,PA2_C
27,Summer,C,OT_PA2,226.323761,PA2_C
28,Summer,C,OT_PA2,422.6451073,PA2_C
29,Summer,C,OT_PA2,862.6344299,PA2_C
30,Summer,C,OT_PA2,728.1471405,PA2_C
31,Summer,C,OT_PA2,131.6013126,PA2_C
32,Summer,C,OT_PA2,337.3054523,PA2_C
33,Summer,C,OT_PA2,1240.704895,PA2_C
34,Summer,C,OT_PA2,1348.131744,PA2_C
35,Summer,C,OT_PA2,1733.593689,PA2_C
1,Summer,D,OT_PA2,3227.318115,PA2_D
2,Summer,D,OT_PA2,3013.749105,PA2_D
3,Summer,D,OT_PA2,2298.143555,PA2_D
4,Summer,D,OT_PA2,1533.399984,PA2_D
5,Summer,D,OT_PA2,931.9689535,PA2_D
6,Summer,D,OT_PA2,553.5535482,PA2_D
7,Summer,D,OT_PA2,405.3334401,PA2_D
8,Summer,D,OT_PA2,152.4076029,PA2_D
9,Summer,D,OT_PA2,-235.9479141,PA2_D
10,Summer,D,OT_PA2,-441.6992696,PA2_D
11,Summer,D,OT_PA2,-402.4089661,PA2_D
12,Summer,D,OT_PA2,-759.8347778,PA2_D
13,Summer,D,OT_PA2,-822.612203,PA2_D
14,Summer,D,OT_PA2,-694.8375041,PA2_D
15,Summer,D,OT_PA2,-766.5315755,PA2_D
16,Summer,D,OT_PA2,-709.4704183,PA2_D
17,Summer,D,OT_PA2,-955.5707092,PA2_D
18,Summer,D,OT_PA2,-1053.947083,PA2_D
19,Summer,D,OT_PA2,-906.4953003,PA2_D
20,Summer,D,OT_PA2,-840.6294657,PA2_D
21,Summer,D,OT_PA2,-755.4381205,PA2_D
22,Summer,D,OT_PA2,-751.1634356,PA2_D
23,Summer,D,OT_PA2,-646.899147,PA2_D
24,Summer,D,OT_PA2,-322.4656092,PA2_D
25,Summer,D,OT_PA2,-9.487798055,PA2_D
26,Summer,D,OT_PA2,245.9717865,PA2_D
27,Summer,D,OT_PA2,342.1631317,PA2_D
28,Summer,D,OT_PA2,332.0914714,PA2_D
29,Summer,D,OT_PA2,430.7541809,PA2_D
30,Summer,D,OT_PA2,386.6668905,PA2_D
31,Summer,D,OT_PA2,546.8269857,PA2_D
32,Summer,D,OT_PA2,693.9402262,PA2_D
33,Summer,D,OT_PA2,950.2019043,PA2_D
34,Summer,D,OT_PA2,1272.015605,PA2_D
35,Summer,D,OT_PA2,1766.782491,PA2_D
1,Fall,C,OT_PA2,-2574.802246,PA2_C
2,Fall,C,OT_PA2,-3284.11849,PA2_C
3,Fall,C,OT_PA2,-3612.911621,PA2_C
4,Fall,C,OT_PA2,-2660.583333,PA2_C
5,Fall,C,OT_PA2,827.3802134,PA2_C
6,Fall,C,OT_PA2,1342.548198,PA2_C
7,Fall,C,OT_PA2,947.2109528,PA2_C
8,Fall,C,OT_PA2,679.6185201,PA2_C
9,Fall,C,OT_PA2,561.7109782,PA2_C
10,Fall,C,OT_PA2,497.2031808,PA2_C
11,Fall,C,OT_PA2,496.5248362,PA2_C
12,Fall,C,OT_PA2,1236.287865,PA2_C
13,Fall,C,OT_PA2,1040.993627,PA2_C
14,Fall,C,OT_PA2,766.2215271,PA2_C
15,Fall,C,OT_PA2,296.3178813,PA2_C
16,Fall,C,OT_PA2,-154.4620361,PA2_C
17,Fall,C,OT_PA2,-141.3304952,PA2_C
18,Fall,C,OT_PA2,443.8205363,PA2_C
19,Fall,C,OT_PA2,233.9924571,PA2_C
20,Fall,C,OT_PA2,-106.1325175,PA2_C
21,Fall,C,OT_PA2,-6.288772583,PA2_C
22,Fall,C,OT_PA2,32.1500651,PA2_C
23,Fall,C,OT_PA2,-186.8863525,PA2_C
24,Fall,C,OT_PA2,-496.4592641,PA2_C
25,Fall,C,OT_PA2,-446.8928324,PA2_C
26,Fall,C,OT_PA2,-515.9657475,PA2_C
27,Fall,C,OT_PA2,-422.13237,PA2_C
28,Fall,C,OT_PA2,-621.383667,PA2_C
29,Fall,C,OT_PA2,-615.3589147,PA2_C
30,Fall,C,OT_PA2,-573.8875224,PA2_C
31,Fall,C,OT_PA2,-256.4682414,PA2_C
32,Fall,C,OT_PA2,201.147672,PA2_C
33,Fall,C,OT_PA2,578.7336324,PA2_C
34,Fall,C,OT_PA2,1418.926366,PA2_C
35,Fall,C,OT_PA2,2312.022736,PA2_C
1,Fall,D,OT_PA2,2534.319173,PA2_D
2,Fall,D,OT_PA2,2222.495158,PA2_D
3,Fall,D,OT_PA2,1077.882248,PA2_D
4,Fall,D,OT_PA2,344.9150918,PA2_D
5,Fall,D,OT_PA2,128.2422358,PA2_D
6,Fall,D,OT_PA2,-165.633756,PA2_D
7,Fall,D,OT_PA2,-517.5019449,PA2_D
8,Fall,D,OT_PA2,-592.1044795,PA2_D
9,Fall,D,OT_PA2,-539.4830826,PA2_D
10,Fall,D,OT_PA2,-579.958046,PA2_D
11,Fall,D,OT_PA2,-269.9903005,PA2_D
12,Fall,D,OT_PA2,646.6206945,PA2_D
13,Fall,D,OT_PA2,1047.624896,PA2_D
14,Fall,D,OT_PA2,1576.761892,PA2_D
15,Fall,D,OT_PA2,2905.479717,PA2_D
16,Fall,D,OT_PA2,4882.520467,PA2_D
17,Fall,D,OT_PA2,7579.430827,PA2_D
18,Fall,D,OT_PA2,11856.8858,PA2_D
19,Fall,D,OT_PA2,18117.43907,PA2_D
20,Fall,D,OT_PA2,26930.68538,PA2_D
21,Fall,D,OT_PA2,37927.48443,PA2_D
22,Fall,D,OT_PA2,51567.19102,PA2_D
23,Fall,D,OT_PA2,67370.89892,PA2_D
24,Fall,D,OT_PA2,84829.76697,PA2_D
25,Fall,D,OT_PA2,102595.971,PA2_D
26,Fall,D,OT_PA2,121008.4796,PA2_D
27,Fall,D,OT_PA2,138882.2435,PA2_D
28,Fall,D,OT_PA2,155805.148,PA2_D
29,Fall,D,OT_PA2,172420.9015,PA2_D
30,Fall,D,OT_PA2,187879.1185,PA2_D
31,Fall,D,OT_PA2,201598.7366,PA2_D
32,Fall,D,OT_PA2,214637.5265,PA2_D
33,Fall,D,OT_PA2,226213.2539,PA2_D
34,Fall,D,OT_PA2,236945.9814,PA2_D
35,Fall,D,OT_PA2,245406.5734,PA2_D
1,Winter,C,OT_PA2,-2278.035339,PA2_C
2,Winter,C,OT_PA2,-1421.651622,PA2_C
3,Winter,C,OT_PA2,-174.1246999,PA2_C
4,Winter,C,OT_PA2,231.2642212,PA2_C
5,Winter,C,OT_PA2,404.2117284,PA2_C
6,Winter,C,OT_PA2,657.3206889,PA2_C
7,Winter,C,OT_PA2,785.3554433,PA2_C
8,Winter,C,OT_PA2,805.878465,PA2_C
9,Winter,C,OT_PA2,778.3689423,PA2_C
10,Winter,C,OT_PA2,770.9466604,PA2_C
11,Winter,C,OT_PA2,901.3824463,PA2_C
12,Winter,C,OT_PA2,1044.030474,PA2_C
13,Winter,C,OT_PA2,911.4910029,PA2_C
14,Winter,C,OT_PA2,1163.787486,PA2_C
15,Winter,C,OT_PA2,2405.698503,PA2_C
16,Winter,C,OT_PA2,2992.958518,PA2_C
17,Winter,C,OT_PA2,3350.411241,PA2_C
18,Winter,C,OT_PA2,3420.540886,PA2_C
19,Winter,C,OT_PA2,3571.998978,PA2_C
20,Winter,C,OT_PA2,3666.997116,PA2_C
21,Winter,C,OT_PA2,3885.086721,PA2_C
22,Winter,C,OT_PA2,4016.264537,PA2_C
23,Winter,C,OT_PA2,3951.114563,PA2_C
24,Winter,C,OT_PA2,4066.903061,PA2_C
25,Winter,C,OT_PA2,4199.592926,PA2_C
26,Winter,C,OT_PA2,4430.826731,PA2_C
27,Winter,C,OT_PA2,4325.460612,PA2_C
28,Winter,C,OT_PA2,4030.085047,PA2_C
29,Winter,C,OT_PA2,3920.213715,PA2_C
30,Winter,C,OT_PA2,3997.141541,PA2_C
31,Winter,C,OT_PA2,4140.749371,PA2_C
32,Winter,C,OT_PA2,5640.333771,PA2_C
33,Winter,C,OT_PA2,5891.049347,PA2_C
34,Winter,C,OT_PA2,6131.792277,PA2_C
35,Winter,C,OT_PA2,6283.824259,PA2_C
1,Winter,D,OT_PA2,703.7435303,PA2_D
2,Winter,D,OT_PA2,455.9327799,PA2_D
3,Winter,D,OT_PA2,94.99317424,PA2_D
4,Winter,D,OT_PA2,98.29701233,PA2_D
5,Winter,D,OT_PA2,2.379524231,PA2_D
6,Winter,D,OT_PA2,14.00499725,PA2_D
7,Winter,D,OT_PA2,108.2971497,PA2_D
8,Winter,D,OT_PA2,-141.4016012,PA2_D
9,Winter,D,OT_PA2,-15.66285706,PA2_D
10,Winter,D,OT_PA2,290.8272107,PA2_D
11,Winter,D,OT_PA2,281.2196045,PA2_D
12,Winter,D,OT_PA2,118.1263326,PA2_D
13,Winter,D,OT_PA2,16.7700386,PA2_D
14,Winter,D,OT_PA2,-133.8375651,PA2_D
15,Winter,D,OT_PA2,-409.4712016,PA2_D
16,Winter,D,OT_PA2,-288.5449524,PA2_D
