COL.ID,FVFM,SEASON,SUBSET,SITE,SPECIES,GENUS
OT.PA1,0.769,1_SM18,y,Outlet,PA,D
OT.PA2,0.765333333,1_SM18,y,Outlet,PA,D
OT.PA5,0.785666667,1_SM18,y,Outlet,PA,D
OT.PA7,0.723666667,1_SM18,y,Outlet,PA,NA
OT.PA9,0.724,1_SM18,y,Outlet,PA,D
OT.PA10,0.653333333,1_SM18,y,Outlet,PA,D
OT.PA1,0.750666667,2_FL18,y,Outlet,PA,D
OT.PA2,0.692666667,2_FL18,y,Outlet,PA,D
OT.PA5,0.802,2_FL18,y,Outlet,PA,D
OT.PA7,0.795,2_FL18,y,Outlet,PA,NA
OT.PA9,0.737,2_FL18,y,Outlet,PA,D
OT.PA10,0.756,2_FL18,y,Outlet,PA,D
OT.PA1,0.747666667,3_WNT19,y,Outlet,PA,DC
OT.PA2,0.717666667,3_WNT19,y,Outlet,PA,D
OT.PA5,0.799666667,3_WNT19,y,Outlet,PA,D
OT.PA7,0.729,3_WNT19,y,Outlet,PA,NA
OT.PA9,0.770333333,3_WNT19,y,Outlet,PA,D
OT.PA10,0.735,3_WNT19,y,Outlet,PA,D
OT.PA1,0.766333333,4_SP19,y,Outlet,PA,D
OT.PA2,0.778666667,4_SP19,y,Outlet,PA,D
OT.PA5,0.807333333,4_SP19,y,Outlet,PA,D
OT.PA7,0.773666667,4_SP19,y,Outlet,PA,NA
OT.PA9,0.766666667,4_SP19,y,Outlet,PA,D
OT.PA10,0.77,4_SP19,y,Outlet,PA,D
OT.PA1,0.746,5_SM19,y,Outlet,PA,NA
OT.PA2,0.648666667,5_SM19,y,Outlet,PA,NA
OT.PA5,0.673666667,5_SM19,y,Outlet,PA,NA
OT.PA7,0.732666667,5_SM19,y,Outlet,PA,NA
OT.PA9,0.628,5_SM19,y,Outlet,PA,NA
OT.PA10,0.734666667,5_SM19,y,Outlet,PA,NA
WT.PA1,0.711666667,1_SM18,y,Wanlitung,PA,NA
WT.PA3,0.696666667,1_SM18,y,Wanlitung,PA,C
WT.PA7,0.701,1_SM18,y,Wanlitung,PA,C
WT.PA9,0.665666667,1_SM18,y,Wanlitung,PA,NA
WT.PA10,0.740333333,1_SM18,y,Wanlitung,PA,NA
WT.PA1,0.700666667,2_FL18,y,Wanlitung,PA,NA
WT.PA3,0.712333333,2_FL18,y,Wanlitung,PA,C
WT.PA7,0.615333333,2_FL18,y,Wanlitung,PA,C
WT.PA9,0.623,2_FL18,y,Wanlitung,PA,NA
WT.PA10,0.713333333,2_FL18,y,Wanlitung,PA,NA
WT.PA11,0.685666667,2_FL18,y,Wanlitung,PA,NA
WT.PA13,0.581,2_FL18,y,Wanlitung,PA,NA
WT.PA3,0.746333333,3_WNT19,y,Wanlitung,PA,C
WT.PA7,0.735333333,3_WNT19,y,Wanlitung,PA,C
WT.PA9,0.747,3_WNT19,y,Wanlitung,PA,NA
WT.PA10,0.778666667,3_WNT19,y,Wanlitung,PA,NA
WT.PA11,0.751,3_WNT19,y,Wanlitung,PA,NA
WT.PA13,0.759333333,3_WNT19,y,Wanlitung,PA,NA
WT.PA15,0.715666667,3_WNT19,y,Wanlitung,PA,NA
WT.PA3,0.701333333,4_SP19,y,Wanlitung,PA,NA
WT.PA7,0.717333333,4_SP19,y,Wanlitung,PA,NA
WT.PA10,0.71,4_SP19,y,Wanlitung,PA,NA
WT.PA11,0.664333333,4_SP19,y,Wanlitung,PA,NA
WT.PA13,0.715333333,4_SP19,y,Wanlitung,PA,NA
WT.PA15,0.718666667,4_SP19,y,Wanlitung,PA,NA
WT.PA16,0.755333333,4_SP19,y,Wanlitung,PA,NA
WT.PA7,0.740666667,5_SM19,y,Wanlitung,PA,NA
WT.PA10,0.723333333,5_SM19,y,Wanlitung,PA,NA
WT.PA11,0.691333333,5_SM19,y,Wanlitung,PA,NA
WT.PA13,0.729333333,5_SM19,y,Wanlitung,PA,NA
WT.PA15,0.713666667,5_SM19,y,Wanlitung,PA,NA
WT.PA16,0.721,5_SM19,y,Wanlitung,PA,NA
OT.AN5,0.732,1_SM18,y,Outlet,AN,DC
OT.AN8,0.688,1_SM18,y,Outlet,AN,CD
OT.AN9,0.692666667,1_SM18,y,Outlet,AN,DC
OT.AN10,0.724333333,1_SM18,y,Outlet,AN,DC
OT.AN12,0.691,1_SM18,y,Outlet,AN,CD
OT.AN13,0.66,1_SM18,y,Outlet,AN,DC
OT.AN5,0.739666667,2_FL18,y,Outlet,AN,DC
OT.AN8,0.716,2_FL18,y,Outlet,AN,CD
OT.AN9,0.737333333,2_FL18,y,Outlet,AN,DC
OT.AN10,0.728,2_FL18,y,Outlet,AN,DC
OT.AN12,0.731666667,2_FL18,y,Outlet,AN,CD
OT.AN13,0.726333333,2_FL18,y,Outlet,AN,DC
OT.AN5,0.74,3_WNT19,y,Outlet,AN,DC
OT.AN8,0.718333333,3_WNT19,y,Outlet,AN,CD
OT.AN9,0.706666667,3_WNT19,y,Outlet,AN,DC
OT.AN10,0.756666667,3_WNT19,y,Outlet,AN,DC
OT.AN.12,NA,3_WNT19,y,Outlet,AN,CD
OT.AN13,0.752666667,3_WNT19,y,Outlet,AN,DC
OT.AN5,0.729333333,4_SP19,y,Outlet,AN,DC
OT.AN8,0.735666667,4_SP19,y,Outlet,AN,CD
OT.AN9,0.764333333,4_SP19,y,Outlet,AN,DC
OT.AN10,0.747,4_SP19,y,Outlet,AN,DC
OT.AN12,0.726,4_SP19,y,Outlet,AN,CD
OT.AN13,0.776333333,4_SP19,y,Outlet,AN,DC
OT.AN5,0.76,5_SM19,y,Outlet,AN,NA
OT.AN8,0.759,5_SM19,y,Outlet,AN,NA
OT.AN9,0.697,5_SM19,y,Outlet,AN,NA
OT.AN10,0.695666667,5_SM19,y,Outlet,AN,NA
OT.AN12,0.733666667,5_SM19,y,Outlet,AN,NA
OT.AN13,0.770666667,5_SM19,y,Outlet,AN,NA
WT.AN1,0.769,1_SM18,y,Wanlitung,AN,C 
WT.AN3,0.644333333,1_SM18,y,Wanlitung,AN,C
WT.AN5,0.717333333,1_SM18,y,Wanlitung,AN,C
WT.AN6,0.715666667,1_SM18,y,Wanlitung,AN,C
WT.AN7,0.599333333,1_SM18,y,Wanlitung,AN,C
WT.AN8,0.652666667,1_SM18,y,Wanlitung,AN,C
WT.AN1,0.697,2_FL18,y,Wanlitung,AN,C
WT.AN3,0.673,2_FL18,y,Wanlitung,AN,C
WT.AN5,0.736333333,2_FL18,y,Wanlitung,AN,C
WT.AN6,0.674666667,2_FL18,y,Wanlitung,AN,C
WT.AN7,0.625,2_FL18,y,Wanlitung,AN,C
WT.AN8,0.681333333,2_FL18,y,Wanlitung,AN,C
WT.AN1,0.712333333,3_WNT19,y,Wanlitung,AN,C
WT.AN3,0.729,3_WNT19,y,Wanlitung,AN,C
WT.AN5,0.623333333,3_WNT19,y,Wanlitung,AN,C
WT.AN6,0.736666667,3_WNT19,y,Wanlitung,AN,C
WT.AN7,0.689333333,3_WNT19,y,Wanlitung,AN,C
WT.AN8,0.758333333,3_WNT19,y,Wanlitung,AN,C
WT.AN1,0.724666667,4_SP19,y,Wanlitung,AN,C
WT.AN3,0.744666667,4_SP19,y,Wanlitung,AN,C
WT.AN5,0.780666667,4_SP19,y,Wanlitung,AN,C
WT.AN6,0.725666667,4_SP19,y,Wanlitung,AN,C
WT.AN7,0.83,4_SP19,y,Wanlitung,AN,C
WT.AN8,0.789666667,4_SP19,y,Wanlitung,AN,C
WT.AN1,0.622666667,5_SM19,y,Wanlitung,AN,NA
WT.AN3,0.621333333,5_SM19,y,Wanlitung,AN,NA
WT.AN6,0.707,5_SM19,y,Wanlitung,AN,NA
WT.AN8,0.673666667,5_SM19,y,Wanlitung,AN,NA
WT.AN11,0.704333333,5_SM19,y,Wanlitung,AN,NA
WT.AN14,0.643333333,5_SM19,y,Wanlitung,AN,NA
OT.PL1,0.622333333,1_SM18,y,Outlet ,PL,CD
OT.PL4,0.725,1_SM18,y,Outlet ,PL,CD
OT.PL5,0.631666667,1_SM18,y,Outlet ,PL,CD
OT.PL6,0.607666667,1_SM18,y,Outlet ,PL,CD
OT.PL8,0.633666667,1_SM18,y,Outlet ,PL,CD
OT.PL9,0.691,1_SM18,y,Outlet ,PL,NA
OT.PL1,0.624666667,2_FL18,y,Outlet ,PL,CD
OT.PL4,0.712666667,2_FL18,y,Outlet ,PL,CD
OT.PL5,0.669333333,2_FL18,y,Outlet ,PL,CD
OT.PL6,0.666,2_FL18,y,Outlet ,PL,C
OT.PL8,0.719333333,2_FL18,y,Outlet ,PL,CD
OT.PL9,0.702333333,2_FL18,y,Outlet ,PL,NA
OT.PL1,0.638333333,3_WNT19,y,Outlet ,PL,C
OT.PL4,0.65,3_WNT19,y,Outlet ,PL,C
OT.PL5,0.657333333,3_WNT19,y,Outlet ,PL,C
OT.PL6,0.593666667,3_WNT19,y,Outlet ,PL,CD
OT.PL8,0.615,3_WNT19,y,Outlet ,PL,C
OT.PL9,0.608333333,3_WNT19,y,Outlet ,PL,NA
OT.PL1,0.627666667,4_SP19,y,Outlet ,PL,CD
OT.PL4,0.667666667,4_SP19,y,Outlet ,PL,CD
OT.PL5,0.682666667,4_SP19,y,Outlet ,PL,CD
OT.PL6,0.444333333,4_SP19,y,Outlet ,PL,CD
OT.PL8,0.684,4_SP19,y,Outlet ,PL,C
OT.PL9,0.624666667,4_SP19,y,Outlet ,PL,NA
OT.PL1,0.603666667,5_SM19,y,Outlet ,PL,NA
OT.PL4,0.407,5_SM19,y,Outlet ,PL,NA
OT.PL5,0.428666667,5_SM19,y,Outlet ,PL,NA
OT.PL6,0.464333333,5_SM19,y,Outlet ,PL,NA
OT.PL8,0.687666667,5_SM19,y,Outlet ,PL,NA
OT.PL9,0.612,5_SM19,y,Outlet ,PL,NA
WT.PL1,0.584,1_SM18,y,Wanlitung,PL,C
WT.PL2,0.651,1_SM18,y,Wanlitung,PL,C
WT.PL3,0.668333333,1_SM18,y,Wanlitung,PL,C
WT.PL4,0.537,1_SM18,y,Wanlitung,PL,CD
WT.PL6,0.624,1_SM18,y,Wanlitung,PL,C
WT.PL10,0.574666667,1_SM18,y,Wanlitung,PL,C
WT.PL1,0.616666667,2_FL18,y,Wanlitung,PL,C
WT.PL2,0.662666667,2_FL18,y,Wanlitung,PL,C
WT.PL3,0.675333333,2_FL18,y,Wanlitung,PL,C
WT.PL4,0.695,2_FL18,y,Wanlitung,PL,C
WT.PL6,0.675,2_FL18,y,Wanlitung,PL,C
WT.PL10,0.713333333,2_FL18,y,Wanlitung,PL,C
WT.PL1,0.662666667,3_WNT19,y,Wanlitung,PL,C
WT.PL2,0.728666667,3_WNT19,y,Wanlitung,PL,C
WT.PL3,0.690666667,3_WNT19,y,Wanlitung,PL,C
WT.PL4,0.586666667,3_WNT19,y,Wanlitung,PL,C
WT.PL6,0.709333333,3_WNT19,y,Wanlitung,PL,C
WT.PL10,0.642,3_WNT19,y,Wanlitung,PL,C
WT.PL1,0.600666667,4_SP19,y,Wanlitung,PL,C
WT.PL2,0.659666667,4_SP19,y,Wanlitung,PL,C
WT.PL3,0.675333333,4_SP19,y,Wanlitung,PL,C
WT.PL4,0.596333333,4_SP19,y,Wanlitung,PL,CD
WT.PL6,0.633,4_SP19,y,Wanlitung,PL,C
WT.PL10,0.618666667,4_SP19,y,Wanlitung,PL,C
WT.PL1,0.544666667,5_SM19,y,Wanlitung,PL,NA
WT.PL2,0.554666667,5_SM19,y,Wanlitung,PL,NA
WT.PL3,0.532333333,5_SM19,y,Wanlitung,PL,NA
WT.PL4,0.648666667,5_SM19,y,Wanlitung,PL,NA
WT.PL6,0.613333333,5_SM19,y,Wanlitung,PL,NA
WT.PL10,0.612,5_SM19,y,Wanlitung,PL,NA
